"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.33465246839618e-09,0.704790751574098,0.303,0.121,1.83034239515852e-05,"FCGR3A+ Mono","ETFA"
1.72669700370482e-09,0.621598189839737,0.474,0.227,2.36799227088079e-05,"FCGR3A+ Mono","SAMHD1"
2.02159077779073e-09,0.282770028106883,1,0.983,2.77240959266221e-05,"FCGR3A+ Mono","EIF1"
2.08990352548718e-09,0.801750396062687,0.531,0.264,2.86609369485312e-05,"FCGR3A+ Mono","RAB5C"
2.18898047915772e-09,0.705136418273905,0.291,0.116,3.0019678291169e-05,"FCGR3A+ Mono","TMEM134"
2.22528845514532e-09,0.704319988239564,0.309,0.131,3.05176058738629e-05,"FCGR3A+ Mono","FAM32A"
2.32572993476908e-09,0.420355805255692,0.349,0.148,3.18950603254231e-05,"FCGR3A+ Mono","SMAP2"
2.58135263507066e-09,0.907846610805847,0.269,0.104,3.5400670037359e-05,"FCGR3A+ Mono","ERICH1"
2.87298523893354e-09,0.623689194634071,0.44,0.21,3.94001195667345e-05,"FCGR3A+ Mono","EIF6"
2.92972811333288e-09,0.660173235573505,0.526,0.265,4.01782913462471e-05,"FCGR3A+ Mono","ATP5EP2"
2.98594517874038e-09,0.257826079933855,1,0.993,4.09492521812455e-05,"FCGR3A+ Mono","TMSB10"
3.08659840017405e-09,0.695283967079887,0.366,0.163,4.23296104599869e-05,"FCGR3A+ Mono","ERP44"
3.37960365506203e-09,0.600496728727137,0.309,0.128,4.63478845255206e-05,"FCGR3A+ Mono","NDUFB3"
3.44398918435877e-09,0.66074061738203,0.257,0.098,4.72308676742962e-05,"FCGR3A+ Mono","TLE4"
3.5305301931567e-09,0.820654241626229,0.451,0.212,4.8417691068951e-05,"FCGR3A+ Mono","RNF213"
3.90806884413753e-09,0.626305261232844,0.349,0.148,5.35952561285021e-05,"FCGR3A+ Mono","C7orf50"
3.91648369263972e-09,0.474020424977667,0.44,0.212,5.37106573608611e-05,"FCGR3A+ Mono","RER1"
3.92755844831911e-09,0.712919972016214,0.491,0.252,5.38625365602483e-05,"FCGR3A+ Mono","SRI"
4.01195757338162e-09,0.724947282489784,0.514,0.266,5.50199861613556e-05,"FCGR3A+ Mono","ABRACL"
4.44281496109881e-09,1.30656605282937,0.451,0.228,6.0928764376509e-05,"FCGR3A+ Mono","RTN4"
4.4875593043794e-09,1.18236920591492,0.36,0.16,6.15423883002591e-05,"FCGR3A+ Mono","ZNHIT3"
4.54295070713037e-09,0.885587232418627,0.251,0.098,6.23020259975859e-05,"FCGR3A+ Mono","MSRB1"
4.55133264750786e-09,0.76633041370768,0.269,0.106,6.24169759279228e-05,"FCGR3A+ Mono","CD4"
4.65929024998241e-09,0.563981580646692,0.371,0.161,6.38975064882588e-05,"FCGR3A+ Mono","PSMC3"
5.19758755971556e-09,0.297698832431185,0.989,0.92,7.12797157939392e-05,"FCGR3A+ Mono","PFDN5"
5.64646095137344e-09,0.98475525796785,0.257,0.101,7.74355654871353e-05,"FCGR3A+ Mono","TIMM8B"
5.96473546328828e-09,1.04009359410157,0.48,0.231,8.18003821435354e-05,"FCGR3A+ Mono","CCDC12"
6.09347943353817e-09,0.702299401017203,0.531,0.282,8.35659769515425e-05,"FCGR3A+ Mono","ARF5"
6.32810195683596e-09,0.541038517321692,0.537,0.272,8.67835902360484e-05,"FCGR3A+ Mono","MRPL23"
6.69960361387128e-09,0.415343108014982,0.589,0.322,9.18783639606307e-05,"FCGR3A+ Mono","DYNLL1"
6.91374543115314e-09,0.778798999967026,0.326,0.143,9.48151048428341e-05,"FCGR3A+ Mono","LAP3"
6.91565550876643e-09,0.744299935894722,0.383,0.184,9.48412996472228e-05,"FCGR3A+ Mono","YWHAH"
7.49493415520498e-09,0.566536809250923,0.44,0.206,0.000102785527004481,"FCGR3A+ Mono","TNFRSF14"
9.22996001067442e-09,0.672183297117451,0.531,0.268,0.000126579671586389,"FCGR3A+ Mono","PSMD4"
9.71901723165342e-09,0.619425176171131,0.44,0.216,0.000133286602314895,"FCGR3A+ Mono","NDUFS6"
1.00860574472936e-08,1.2736491005893,0.303,0.128,0.000138320191832185,"FCGR3A+ Mono","PRKCB"
1.01762489097479e-08,0.690362806026538,0.337,0.151,0.000139557077548283,"FCGR3A+ Mono","TXN2"
1.08261119087762e-08,0.572760680052277,0.417,0.197,0.000148469298716957,"FCGR3A+ Mono","LSM10"
1.19590684522458e-08,0.755841383698275,0.257,0.103,0.000164006664754099,"FCGR3A+ Mono","MX2"
1.24206283650136e-08,0.69084462564043,0.314,0.136,0.000170336497397797,"FCGR3A+ Mono","UPP1"
1.27312587959443e-08,0.7529098101176,0.286,0.12,0.00017459648312758,"FCGR3A+ Mono","MTPN"
1.38330668971363e-08,0.738695412874084,0.349,0.16,0.000189706679427327,"FCGR3A+ Mono","FIBP"
1.39789535873928e-08,1.26168512791991,0.326,0.139,0.000191707369497504,"FCGR3A+ Mono","UBE2B"
1.40955183304259e-08,0.537235324688138,0.749,0.428,0.000193305938383461,"FCGR3A+ Mono","BST2"
1.41336348528906e-08,0.443113203664601,0.337,0.149,0.000193828668372542,"FCGR3A+ Mono","MRPL21"
1.42056842865149e-08,0.625174480326195,0.314,0.135,0.000194816754305265,"FCGR3A+ Mono","STX10"
1.53518041488207e-08,0.534307869895967,0.371,0.167,0.000210534642096927,"FCGR3A+ Mono","PSMB4"
1.58327417844867e-08,0.49494035119939,0.811,0.505,0.000217130220832451,"FCGR3A+ Mono","SLC25A3"
